,State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,sex_ratio,literacy_rate
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,ANDHRA PRADESH,2741239,1369597,1371642,856350,626997,2399901,275970,15422,1377,25510,617,22442,194954,566108,5512,45202,597466,220248,817714,1001.0,54.0
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,ANDHRA PRADESH,4081148,2064495,2016653,1338474,972486,3599372,443456,20463,932,341,1417,15167,223016,897970,8606,48299,902997,341431,1244428,977.0,57.0
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,ANDHRA PRADESH,4174064,2090204,2083860,1484794,1183084,3737588,397870,24129,867,253,1322,12035,324406,944555,13763,67087,907970,395900,1303870,997.0,64.0
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,ANDHRA PRADESH,5154296,2569688,2584608,1716933,1571644,4983330,77777,77825,738,413,4149,10064,479914,1297273,22411,93784,1199479,406362,1605841,1006.0,64.0
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,ANDHRA PRADESH,4887813,2440521,2447292,1634726,1325715,4217597,559770,89763,764,323,3282,16314,648568,1186028,19383,80434,1069877,513113,1582990,1003.0,61.0
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,ANDHRA PRADESH,3943323,2018575,1924748,1542688,1349467,2046051,1713405,87522,11446,1268,19560,64071,581509,869721,149034,274653,0,1066289,1066289,954.0,73.0
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,ANDHRA PRADESH,3776269,1880800,1895469,1257238,949591,3491139,244723,24979,2086,332,312,12698,344667,926768,8831,46584,877236,288044,1165280,1008.0,58.0
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,ANDHRA PRADESH,2797370,1390988,1406382,901640,728594,2595321,158887,33463,655,217,459,8368,219710,668519,8628,42171,669262,201363,870625,1011.0,58.0
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,ANDHRA PRADESH,4517398,2267375,2250023,1598959,1410759,4023678,307043,145598,1393,863,6320,32503,632890,1163932,30438,101450,909292,567042,1476334,992.0,67.0
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,ANDHRA PRADESH,4053463,2039227,2014236,1246369,880792,3328380,670737,33165,737,255,2235,17954,195001,816721,10081,56478,783853,306982,1090835,988.0,52.0
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,ANDHRA PRADESH,4053028,2050386,2002642,1158386,782260,3673456,334172,21345,658,290,388,22719,136843,757821,6153,60812,848963,161052,1010015,977.0,48.0
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,ANDHRA PRADESH,3033288,1523030,1510258,953406,683731,2637313,342449,34301,1309,554,457,16905,163074,604719,8635,47170,593653,195479,789132,992.0,54.0
